Delivery report: PLS;;;;;;;;;;;;;;;;;;;
Delivery Date;;Tour Number;;Ordernr;;Item Number;;;;Order. Qty;Act. Qty;;Verzenddat. order;;;;;;
19-12-2011;;OUT0000025;;20111529;3;SP-ORC-SV-EFF-200;;;;84,00;84,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111529;4;SP-ORC-SV-TFF-200;;;;126,00;126,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111530;1;IVA-INB-80-500-W;;;;24,00;24,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111530;2;IVA-INB-80-400-W;;;;8,00;8,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111530;3;IVA-SUB-125;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111536;1;IVA-AOR-125-A;;;;10,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111536;2;IVA-INB-60-400-W;;;;8,00;8,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111536;3;IVA-SRM-370-40-A;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111536;4;IVA-SRM-495-90-A;;;;24,00;24,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111546;1;IVA-SRG-500-400-A;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111546;2;IVA-SRM-130-90-A;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111546;3;IVA-SRM-495-90-W;;;;12,00;12,00;;19-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;1;IVA-SRM-495-90-G;;;;6,00;6,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;2;IVA-SRM-180-90-W;;;;6,00;6,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;20111553;3;IVA-SRM-195-245-W;;;;6,00;6,00;;20-12-2011;;;;;;
